  17   9 -1.73010381E-03
  18   9 -1.54320988E-03
  19   9 -1.38504156E-03
  20   9 -1.25000001E-03
  21   9 -1.13378685E-03
  22   9 -1.03305786E-03
  23   9 -9.45179589E-04
  24   9 -8.68055560E-04
  25   9 -8.00000004E-04
  26   9 -7.39644974E-04
  27   9 -6.85871060E-04
  28   9 -6.37755106E-04
  29   9 -5.94530324E-04
  30   9 -5.55555559E-04
  11  10 -4.13223142E-03
  12  10 -3.47222222E-03
  13  10 -2.95857988E-03
  14  10 -2.55102041E-03
  15  10 -2.22222223E-03
  16  10 -1.95312500E-03
  17  10 -1.73010381E-03
  18  10 -1.54320988E-03
  19  10 -1.38504155E-03
  20  10 -1.25000000E-03
  21  10 -1.13378685E-03
  22  10 -1.03305785E-03
  23  10 -9.45179587E-04
  24  10 -8.68055558E-04
  25  10 -8.00000003E-04
  26  10 -7.39644973E-04
  27  10 -6.85871059E-04
  28  10 -6.37755104E-04
  29  10 -5.94530323E-04
  30  10 -5.55555558E-04
  12  11 -3.47222223E-03
  13  11 -2.95857989E-03
  14  11 -2.55102041E-03
  15  11 -2.22222222E-03
  16  11 -1.95312500E-03
  17  11 -1.73010381E-03
  18  11 -1.54320988E-03
  19  11 -1.38504155E-03
  20  11 -1.25000000E-03
  21  11 -1.13378685E-03
  22  11 -1.03305785E-03
  23  11 -9.45179587E-04
  24  11 -8.68055558E-04
  25  11 -8.00000003E-04
  26  11 -7.39644973E-04
  27  11 -6.85871059E-04
  28  11 -6.37755104E-04
  29  11 -5.94530323E-04
  30  11 -5.55555558E-04
  13  12 -2.95857988E-03
  14  12 -2.55102041E-03
  15  12 -2.22222223E-03
  16  12 -1.95312500E-03
  17  12 -1.73010381E-03
  18  12 -1.54320988E-03
  19  12 -1.38504155E-03
  20  12 -1.25000000E-03
  21  12 -1.13378685E-03
  22  12 -1.03305785E-03
  23  12 -9.45179586E-04
  24  12 -8.68055557E-04
  25  12 -8.00000001E-04
  26  12 -7.39644972E-04
  27  12 -6.85871058E-04
  28  12 -6.37755103E-04
  29  12 -5.94530323E-04
  30  12 -5.55555557E-04
  14  13 -2.55102041E-03
  15  13 -2.22222222E-03
  16  13 -1.95312500E-03
  17  13 -1.73010381E-03
  18  13 -1.54320988E-03
  19  13 -1.38504155E-03
