   9   1   3   0  2.83718754E+05
  10   1   3   0  2.06786625E+05
  11   1   3   0  1.55326201E+05
  12   1   3   0  1.19615288E+05
  13   1   3   0  9.40630432E+04
  14   1   3   0  7.52999555E+04
  15   1   3   0  6.12131578E+04
  16   1   3   0  5.04320889E+04
  17   1   3   0  4.20412639E+04
  18   1   3   0  3.54133284E+04
  19   1   3   0  3.01085828E+04
  20   1   3   0  2.58126319E+04
  21   1   3   0  2.22966271E+04
  22   1   3   0  1.93912970E+04
  23   1   3   0  1.69696092E+04
  24   1   3   0  1.49349679E+04
  25   1   3   0  1.32130350E+04
  26   1   3   0  1.17459674E+04
  27   1   3   0  1.04883024E+04
  28   1   3   0  9.40397103E+03
  29   1   3   0  8.46411089E+03
  30   1   3   0  7.64544010E+03
   4   0   2   1  2.57948413E+06
   4   0   3   1  1.83637858E+06
   4   0   4   1  9.60610321E-10
   5   1   4   0  7.37594565E+05
   6   1   4   0  4.45866181E+05
   7   1   4   0  2.82958218E+05
   8   1   4   0  1.89850544E+05
   9   1   4   0  1.33337000E+05
  10   1   4   0  9.71621319E+04
  11   1   4   0  7.29632229E+04
  12   1   4   0  5.61738214E+04
  13   1   4   0  4.41637831E+04
  14   1   4   0  3.53472228E+04
  15   1   4   0  2.87296996E+04
  16   1   4   0  2.36662660E+04
  17   1   4   0  1.97262320E+04
  18   1   4   0  1.66145406E+04
  19   1   4   0  1.41244485E+04
  20   1   4   0  1.21081669E+04
  21   1   4   0  1.04581456E+04
  22   1   4   0  9.09485020E+03
  23   1   4   0  7.95860421E+03
  24   1   4   0  7.00403741E+03
  25   1   4   0  6.19623917E+03
  26   1   4   0  5.50804909E+03
  27   1   4   0  4.91812277E+03
  28   1   4   0  4.40952796E+03
  29   1   4   0  3.96871692E+03
  30   1   4   0  3.58476237E+03
   5   0   2   1  1.28929175E+06
   5   0   3   1  9.05162226E+05
   5   0   4   1  6.45409592E+05
   5   0   5   1  3.14252158E-10
   6   1   5   0  2.43091125E+05
   7   1   5   0  1.59174830E+05
   8   1   5   0  1.07171610E+05
   9   1   5   0  7.52465583E+04
  10   1   5   0  5.47808066E+04
  11   1   5   0  4.10987948E+04
  12   1   5   0  3.16159551E+04
  13   1   5   0  2.48395627E+04
  14   1   5   0  1.98695944E+04
  15   1   5   0  1.61421900E+04
  16   1   5   0  1.32920616E+04
  17   1   5   0  1.10755414E+04
  18   1   5   0  9.32586577E+03
  19   1   5   0  7.92629044E+03
  20   1   5   0  6.79342815E+03
  21   1   5   0  5.86663779E+03
  22   1   5   0  5.10110211E+03
  23   1   5   0  4.46321190E+03
  24   1   5   0  3.92742716E+03
  25   1   5   0  3.47410409E+03
  26   1   5   0  3.08796557E+03
  27   1   5   0  2.75700981E+03
  28   1   5   0  2.47171879E+03
  29   1   5   0  2.22447901E+03
  30   1   5   0  2.00915107E+03
   6   0   2   1  7.35378523E+05
   6   0   3   1  5.07433189E+05
   6   0   4   1  3.58426889E+05
   6   0   5   1  2.68312931E+05
